,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
306,NO,YES,NO,NO,HAVE DIFFICULTY,13.4,MALE,4.8,Second,Secondary
310,NO,YES,NO,NO,HAVE DIFFICULTY,17.3,MALE,58.0,Middle,Secondary
311,NO,YES,NO,YES,NO DIFFICULTY,11.2,FEMALE,2.8,Second,Secondary
312,NO,YES,NO,NO,NO DIFFICULTY,14.7,FEMALE,89.3,Richest,Higher secondary+
313,YES,YES,YES,NO,NO DIFFICULTY,15.3,MALE,13.3,Middle,Higher secondary+
314,NO,YES,YES,NO,NO DIFFICULTY,11.9,FEMALE,6.0,Poorest,Secondary
316,YES,YES,YES,NO,NO DIFFICULTY,12.9,FEMALE,1.0,Poorest,Primary
317,NO,YES,NO,NO,NO DIFFICULTY,12.2,FEMALE,36.1,Poorest,Secondary
318,YES,YES,NO,YES,HAVE DIFFICULTY,16.0,MALE,13.1,Poorest,Secondary
319,NO,YES,NO,NO,HAVE DIFFICULTY,9.7,FEMALE,2.8,Poorest,Secondary
321,YES,NO,NO,NO,NO DIFFICULTY,13.1,MALE,10.9,Poorest,Higher secondary+
323,YES,YES,NO,YES,HAVE DIFFICULTY,14.4,MALE,10.7,Poorest,Secondary
324,NO,YES,YES,NO,HAVE DIFFICULTY,13.4,MALE,26.1,Poorest,Primary
326,YES,YES,YES,NO,NO DIFFICULTY,13.7,FEMALE,5.3,Poorest,Primary
327,NO,YES,YES,NO,HAVE DIFFICULTY,13.2,FEMALE,8.6,Poorest,Secondary
329,NO,NO,NO,NO,NO DIFFICULTY,13.1,FEMALE,1.0,Poorest,Pre-primary or none
332,YES,NO,NO,NO,NO DIFFICULTY,15.7,FEMALE,33.6,Fourth,Secondary
333,NO,YES,NO,YES,NO DIFFICULTY,12.3,FEMALE,53.6,Poorest,Secondary
335,YES,YES,YES,NO,HAVE DIFFICULTY,14.9,FEMALE,10.0,Poorest,Primary
337,NO,NO,NO,NO,NO DIFFICULTY,12.8,MALE,6.3,Richest,Secondary
339,YES,NO,YES,NO,HAVE DIFFICULTY,13.2,FEMALE,1.1,Poorest,Pre-primary or none
340,YES,NO,NO,NO,NO DIFFICULTY,14.8,MALE,75.9,Richest,Secondary
341,YES,NO,NO,NO,HAVE DIFFICULTY,14.6,MALE,8.7,Poorest,Primary
343,NO,NO,NO,NO,HAVE DIFFICULTY,9.2,FEMALE,0.9,Fourth,Secondary
344,YES,NO,NO,NO,NO DIFFICULTY,12.0,FEMALE,22.7,Poorest,Secondary
346,YES,NO,NO,NO,HAVE DIFFICULTY,7.0,FEMALE,0.0,Middle,Higher secondary+
348,YES,YES,NO,NO,NO DIFFICULTY,14.2,MALE,2.2,Fourth,Secondary
349,YES,YES,YES,NO,NO DIFFICULTY,12.7,FEMALE,9.2,Richest,Secondary
350,YES,YES,NO,NO,HAVE DIFFICULTY,12.0,FEMALE,1.6,Second,Secondary
353,NO,NO,NO,NO,HAVE DIFFICULTY,12.8,FEMALE,1.7,Middle,Higher secondary+
354,NO,YES,NO,NO,NO DIFFICULTY,11.9,FEMALE,2.1,Fourth,Secondary
